축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
중봉충렬제,옥천 관성회관 표충사,2021-09-30,2021-10-01,중봉조헌추모제향 영규대사 추모제 등,충청북도 옥천군청 옥천문화원+충청북도 옥천청년회의소 각 문화예술단체,충청북도 옥천군청 옥천문화원,,043-730-0402,http://www.okcc.or.kr/html/kr,,충청북도 옥천군 옥천읍 관성로 35,충청북도 옥천군 옥천읍 문정리 476,36.3020923,127.573129,2021-12-31,6430000,충청북도
제17회 진안고원운장산 고로쇠축제,주천면 운일암반일암 삼거광장,2021-03-08,2021-03-12,고로쇠 판매외,진안고원운장산고로쇠축제추진위원회,전라북도 진안군,지역 유관기관,063-430-2393,https://jinan.go.kr/tour/sub_2/?p=1&n=10,,전라북도 진안군 주천면 대불리 75-1,전라북도 진안군 주천면 대불리 75-1,35.9838810155,127.3882948038,2021-12-31,4730000,전라북도 진안군
2021 진안 원연장 꽃잔디축제,꽃잔디동산 및 원영장마을,2021-04-13,2021-05-12,꽃잔디 판매 외(코로나19 확산방지를 위한 축제 취소),전라북도 진안군,전라북도 진안군,,063-430-2393,https://jinan.go.kr/tour/sub_2/?p=1&n=2,,전라북도 진안군 진안읍 연장리 산 23-1,전라북도 진안군 진안읍 연장리 산 23-1,35.781374,127.3972789733,2021-12-31,4730000,전라북도 진안군
안산국제거리극축제,안산문화광장 및 안산시 일대,2017-05-05,2017-05-07,순수예술축제,안산시,안산문화재단,"문화체육관광부, 경기관광공사, 한국문화예술위원회, 한국지역진흥재단",031-481-0531,https://www.ansanart.com/index.do,"대부도, 원곡동 다문화거리",경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,2021-08-31,3930000,경기도 안산시
제10주년 세계인의 날 기념행사,안산문화광장,2017-05-21,2017-05-21,"기념식, 문화 및 각종 부대행사",안산시,안산시,한국가스공사,031-481-3298,,원곡동 다문화마을특구,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,2021-08-31,3930000,경기도 안산시
제5회 상록수문화제,"본오3동공영주차장,상록수공원 및 샘골로 일대",2017-09-16,2017-09-16,"기념음악회, 체험박람회, 작품발표회, 거리퍼레이드 등",안산시,안산시,국가보훈처,031-481-3040,https://www2.ansan.go.kr/choiyongshin/main/main.do,,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.862700,2021-08-31,3930000,경기도 안산시
2017 안산시 평생학습 박람회 & 제7회 안산시도서관책문화축제,안산시 문화광장,2017-10-14,2017-10-14,"도서관홍보, 체험, 북콘서트, 전시 등",안산중앙도서관,안산중앙도서관,,031-481-3862,http://lib.ansan.go.kr,,경기도 안산시 단원구 광덕대로 206,경기도 안산시 단원구 고잔동 800,37.314701,126.831212,2021-08-31,3930000,경기도 안산시
안산국제거리극축제,안산문화광장 및 안산시 일대,2018-05-05,2018-05-07,순수예술축제,안산시,안산문화재단,"문화체육관광부, 경기관광공사, 한국문화예술위원회, 한국지역진흥재단",031-481-0531,https://www.ansanart.com/index.do,"화랑유원지,",경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,2021-08-31,3930000,경기도 안산시
심훈상록문화제(미정),당진시청 일원,2021-01-01,2021-12-31,"연극 상록수, 심훈 전국 시낭송대회, 심훈기획 전시전, 심훈 추모제","(사)심훈상록문화제집행위원회,(사)심훈선생기념사업회","(사)심훈상록문화제집행위원회,(사)심훈선생기념사업회","충청남도,당진시,당진시의회,한국동서발전 등",041-352-4808,,"심훈, 문학, 필경사, 심훈기념관",충청남도 당진시 시청1로 1(수청동),충청남도 당진시 수청동 1002,36.889754,126.645971,2021-10-26,5680000,충청남도 당진시
당진해나루황토고구마축제(미정),당진종합운동장,2021-01-01,2021-12-31,"고구마 캐기, 요리경연대회, 농산물 구매, 노래자랑",고대농협,해나루황토고구마축제위원회,"당진시,농협중앙회당진시지부,당진축협 등",041-355-6080,,"고구마, 해나루, 온라인",충청남도 당진시 고대면 고대로 33,충청남도 당진시 고대면 진관리 349-20,36.92244231,126.6015041,2021-10-26,5680000,충청남도 당진시
남이흥장군문화제(미정),충장사 일원,2021-01-01,2021-12-31,"장군행렬 재연행사, 학생 백일장, 풍물놀이, 무예시범, 호패만들기","당진문화원, 당진시궁도협회, 당진시씨름협회 등",남이흥장군문화제집행위원회,"충청남도, 충청남도 당진시, 당진경찰서, 신성대학 등",041-353-1517,,"남이흥장군묘일원, 남이흥장군유품",충청남도 당진시 대호지면 충장1길 73-48,충청남도 당진시 대호지면 도이리 373-1,36.924978,126.529455,2021-10-26,5680000,충청남도 당진시
당진해나루쌀농특산물축제(미정),삽교호 관광지 일원,2021-01-01,2021-12-31,"쌀 직거래판매, 맷돌체험, 쌀 경매, 절편무늬찍기 체험, 가래떡 뽑기",당진시농업인단체협의회,해나루쌀농특산물축제추진위원회,"당진시,농협중앙회당진시지부 등",041-350-4147,,"쌀, 해나루, 기네스북, 삽교호",충청남도 당진시 신평면 삽교천3길 79,충청남도 당진시 신평면 운정리 197-3,36.89061045,126.8244109,2021-10-26,5680000,충청남도 당진시
왜목마을해넘이해돋이축제(미정),왜목마을 일대,2021-01-01,2021-12-31,"소원적기, 달짚태우기, 대붓퍼포먼스, 노래자랑, 불꽃놀이, 퓨전국악",충청남도 당진시,왜목마을 해돋이축제추진위원회,"한국동서발전,석문면개발위원회,당진시",041-350-3591,,,충청남도 당진시 석문면 왜목길 26,충청남도 당진시 석문면 교로리 844-4,37.04443385,126.5261285,2021-10-26,5680000,충청남도 당진시
제17회 구리 코스모스 축제,구리한강 시민공원,2017-09-22,2017-09-24,"무대공연, 체험부스운영, 먹거리 체험, 꽃 관람",(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2021-10-26,3980000,경기도 구리시
제18회 구리 유채꽃 축제,구리한강 시민공원,2018-05-04,2018-05-06,"무대공연, 체험부스운영, 먹거리 체험, 꽃 관람",(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2021-10-26,3980000,경기도 구리시
제18회 구리 코스모스 축제,구리한강 시민공원,2018-10-05,2018-10-07,"무대공연, 체험부스운영, 먹거리 체험, 꽃 관람",(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2021-10-26,3980000,경기도 구리시
제19회 구리 유채꽃 축제,구리한강 시민공원 및 시가지 일원,2019-05-10,2019-05-12,한강 꽃단지 체험 및 시가지 공연 등,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2021-10-26,3980000,경기도 구리시
제19회 구리 코스모스 축제,구리한강 시민공원 및 시가지 일원,2019-09-27,2019-09-29,한강 꽃단지 체험 및 시가지 공연 등,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2021-10-26,3980000,경기도 구리시
백제 어울마당,공산성,2017-04-15,2017-11-05,"백제기악 미마지탈극, 백제춤추기 체험 등",봉황기획,공주시,,041-840-8069,,,충청남도 공주시 웅진로 28,충청남도 공주시 금성동 65-3,36.46521533,127.1236356,2021-10-22,4500000,충청남도 공주시
웅진성수문병 근무교대식,공산성 금서루,2017-04-15,2017-10-29,"수문병 근무교대식,백제왕.왕비복 체험,  옥사체험,    활쏘기 체험 등",웅진문화회,공주시,,041-840-8069,,,충청남도 공주시 웅진로 280,충청남도 공주시 금성동 65-3,36.46521533,127.1236802,2021-10-22,4500000,충청남도 공주시
공주 석장리 구석기축제,석장리박물관,2017-05-03,2017-05-07,구석기문화 체험,공주석장리구석기축제조직위원회,공주시,,041-840-8090,,,충청남도 공주시 금벽로 990,충청남도 공주시 석장리동 118,36.44795221,127.1875895,2021-10-22,4500000,충청남도 공주시
제17회 함양산삼축제,상림공원,2022-09-02,2022-09-11,"주제프로그램(황금산삼을찾아라,산삼캐기체험,심마니역사문화체험, 산양삼및농특산물판매)특별프로그램(밤소풍, 달빛음악회,힐링산삼숲체험)",함양산삼축제위원회,경상남도 함양군,문화체육관광부+경상남도,055-964-3353,http://sansamfestival.hygn.go.kr/,,경상남도 함양군 함양읍 대맛길 107-1,경상남도 함양군 함양읍 교산리 1043-6,35.527582,127.7209013721,2022-02-23,5460000,경상남도 함양군
코로나로 인한 무기한 연기,미정,2022-01-01,2022-12-31,미정,미정,미정,,,,"코로나로 인해 축제 일정이 모두 취소되고 무기한 연기되어 현재 확인되는 축제 일정은 없으며, 향후 일정이 확인되는 데로 업데이트 예정입니다.",경상남도 산청군 산청읍 산엔청로 1,,,,2022-03-03,5450000,경상남도 산청군
안동국제탈춤축제,"안동탈춤공원, 시내일원, 하회마을 외",2022-09-30,2022-10-09,"탈춤공연, 경연대회, 대동난장 등",한국정신문화재단,안동시청,,054-840-3400,www.maskdance.com,명예대표 문화관광축제,경상북도 안동시 육사로 239(운흥동),,36.56050653,128.7306335,2022-03-03,5070000,경상북도 안동시
장고항실치축제(취소),장고항 일대,2021-01-01,2021-12-31,"실치회시식, 맨손으로 물고기잡기, 뱅어포만들기, 장고항관련 퀴즈",당진수산업협동조합,장고항실치축제위원회,"충청남도 당진시, 수협중앙회, 한국동서발전, 석문면, 석문면개발위원회 등",041-350-4271,,"실치, 뱅어포, 장고항, 왜목마을",충청남도 당진시 석문면 장고항로 298-5,충청남도 당진시 석문면 장고항리 577,37.02885783,126.5619918,2021-10-26,5680000,충청남도 당진시
한진포구바지락갯벌체험축제(미정),한진포구 일대,2021-01-01,2021-12-31,"바지락갯벌체험, 바지락 중량달기, 맨손으로 물고기 잡기, 불꽃놀이",한진 바지락 축제위원회,"해양수산부, 충청남도, 당진시","현대제철, 동부제철, 평택화력 등",041-356-6098,,"한진포구, 삽교호, 바지락, 심훈기념관",충청남도 당진시 송악읍 한진포구길 50-1,충청남도 당진시 송악읍 한진리 95-17,36.97037754,126.7817212,2021-10-26,5680000,충청남도 당진시
순성왕매실&당진맥주 축제,순성왕매실영농조합 내 광장,2021-06-19,2021-06-25,"매실따기, 남원천 걷기행사, 맥주 시음 및 맞추기, 매실활용 콘테스트",순성왕매실영농조합,순성왕매실영농조합,"순성면,순성농협",041-352-1446,,"당진맥주, 왕매실, 백석올미마을",충청남도 당진시 순성면 매실로 398,충청남도 당진시 순성면 봉소리 1419-1,36.83128177,126.7074536,2021-10-26,5680000,충청남도 당진시
해나루황토감자축제,온라인진행,2021-06-21,2021-06-27,"감자캐기체험, 감자요리경연대회, 감자그림그리기 대회",송악농협,해나루황토감자축제추진위원회,"당진시, 당진교육지원청, 농협, 당진시농업인단체협의회 감자연구회, 상록초등학교 등",041-355-6080,,"비대면축제, 감자, 해나루",충청남도 당진시 송악읍 송악로 1024,충청남도 당진시 송악읍 부곡리 187-8,36.95857344,126.7697651,2021-10-26,5680000,충청남도 당진시
합덕제연호문화축제,합덕제 일원,2021-07-10,2021-07-18,"연지카누, 시 전시회, 문인화 전시회, 서예 전시회, 역사 사진 전시회",합덕제 연호문화축제 집행위원회,합덕제 연호문화축제 집행위원회,"한국동서발전,GS ETS등",,,"합덕제, 버그내순례길, 연꽃, 연지카누",충청남도 당진시 합덕읍 덕평로 379-9,충청남도 당진시 합덕읍 합덕리 304-3,36.7932667,126.7842769,2021-10-26,5680000,충청남도 당진시
삽교호조개구이축제(미정),삽교호 관광지 일원,2021-01-01,2021-12-31,"바지락 빨리까기, 삽교호 일몰여행, 수산물 깜짝 경매, 불꽃놀이",삽교호번영회,충청남도 당진시,"당진시, 현대제철,한국동서발전,신평농협 등",041-363-6680,,"한진포구, 바지락, 삽교호, 행담도",충청남도 당진시 신평면 삽교천3길 79,충청남도 당진시 신평면 운정리 197-3,36.89061045,126.8244109,2021-10-26,5680000,충청남도 당진시
제16회 구리한강 유채꽃 축제,구리한강 시민공원,2016-05-13,2016-05-15,유채꽃 축제,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2021-10-26,3980000,경기도 구리시
제16회 구리 코스모스 축제,구리한강 시민공원,2016-09-23,2016-09-25,코스모스 축제,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2021-10-26,3980000,경기도 구리시
제17회 구리 유채꽃 축제,구리한강 시민공원,2017-05-12,2017-05-14,"무대공연, 체험부스운영, 먹거리 체험, 꽃 관람",(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2021-10-26,3980000,경기도 구리시
상패남산축제,상패동수변공원,2018-09-08,2018-09-08,"공연,체험,먹거리장터등",상패동주민자치위원회,경기도+동두천시+상패동행정복지주민센터,,031-860-3180,http://www.ddc.go.kr,,경기도 동두천시 어수로 8,경기도 동두천시 상패동 122-2,37.90537169,127.0442776,2021-11-24,3920000,경기도 동두천시
천사마라톤대회,종합운동장,2018-10-03,2018-10-03,천사데이기념 마라톤대회,사)희망지킴이 천사운동본부,사)희망지킴이 천사운동본부,경기도+동두천시+동두천시의회+한국수자원공사 동두천수도서비스관리단,031-861-1004,http://www.hope1004.org,,경기도 동두천시 어등로 45,경기도 동두천시 생연동 70,37.90083977,127.0704987,2021-11-24,3920000,경기도 동두천시
동두천 청소년 별자리과학 축제,종합운동장,2018-10-13,2018-10-13,경기북부지역 청소년들의 과학과 수학에 대한 자신감과 흥미유발,(사)어수회,경기도+동두천시,동두천시의회+경기문화재단+동두천양주교육지원청 등,031-860-2439,http://www.ddc.go.kr,,경기도 동두천시 어등로 45,경기도 동두천시 생연동 70,37.90083977,127.0704987,2021-11-24,3920000,경기도 동두천시
동두천시 자원봉사 축제,송내동 시민평화공원,2018-10-20,2018-10-20,"자원봉사자와 시민, 청소년 모두가 하나되는 나눔의 장",(사)동두천시자원봉사센터,동두천시,동두천시의회 등,031-860-2214,http://www.ddc.go.kr,,경기도 동두천시 중앙로 125,경기도 동두천시 지행동 691-5,37.89275541,127.0517461,2021-11-24,3920000,경기도 동두천시
DDC할로윈클럽데이,보산동 한미우호광장,2018-10-27,2018-10-28,할로윈데이를 모티브로 한 젊은층 맞춤형 페스티벌,경기관광공사+경기도미술관,경기도+동두천시,동두천시의회 등,031-860-2627,http://www.ddc.go.kr,,경기도 동두천시 상패로216번길 42,경기도 동두천시 보산동 429-4,37.91584622,127.0565068,2021-11-24,3920000,경기도 동두천시
구미인동3.1문화제,인동동,2022-03-12,2022-03-12,미정,인동을사랑하는사람들의모임,인동을사랑하는사람들의모임,,,,,,경상북도 구미시 진평동 산8-2,,,2022-02-09,5080000,경상북도 구미시
제27회 화도진축제,"동인천역북광장, 화도진공원 일원",2016-05-20,2016-05-21,구한말 인천 앞바다 해안 경계를 위해 설치한 화도진을 배경으로한 대표 군영축제,인천광역시 동구청,인천광역시 동구청,,032-770-6922,http://www.icdonggu.go.kr/open_content/culture/event/festival.jsp,"화도진공원, 수도국산달동네박물관, 배다리헌책방거리",인천광역시 동구 참외전로 125 (동인천역 광장),인천광역시 동구 송현동 70-10,37.476747,126.632239,2022-02-09,3500000,인천광역시 동구
북평용줄다리기 축제,북평힐링공원,2021-10-30,2021-10-30,"줄고사, 용줄다리기, 달집태우기 등",북평용줄다리기보존회,북평용줄다리기보존회,"농림수산식품부, 해남군",061-531-3213,www.haenam.go.kr,,전라남도 해남군 북평면 한밭등길 5-1,전라남도 해남군 북평면 남창리 204,34.4037086150,126.6280361,2021-08-23,4930000,전라남도 해남군
땅끝 해넘이·해맞이 축제,땅끝마을일원,2020-12-31,2021-01-01,"해넘이제례, 인정나누기, 달집태우기, 해맞이 등","땅끝해넘이,해맞이축제추진위원회","땅끝해넘이,해맞이축제추진위원회",해남군,061-531-3161,www.haenam.go.kr,,전라남도 해남군 송지면 땅끝마을길 70-14,전라남도 해남군 송지면 송호리 1127-4,34.2982055478,126.5293719389,2021-08-23,4930000,전라남도 해남군
김천자두 온라인 축제,"축제홈페이지, 드라이브스루 판매장",2021-06-25,2021-07-04,"랜선마켓, 라이브커머스, 드라이브스루 마켓",김천자두협회,김천시,,054-421-2534,,,경상북도 김천시 직지로 182-14,경상북도 김천시 대항면 향천리 307-4,,,2021-09-30,5060000,경상북도 김천시
김천포도 온라인 축제,"축제홈페이지, 드라이브/워킹스루 판매장",2021-10-15,2021-10-24,"랜선마켓, 라이브커머스, 드라이브/워킹스루 마켓",김천포도회,김천시,,054-421-2533,,,경상북도 김천시 직지로 182-14,경상북도 김천시 대항면 향천리 307-4,,,2021-09-30,5060000,경상북도 김천시
2020 동작복지나눔축제,관내 대학교 등(미정),2020-09-05,2020-09-05,"사회복지의 날 기념식, 복지나눔콘서트, 오색복지 체험·나눔부스 등",동작구지역사회보장협의체+축제추진위원회,동작구,,02-820-9542,,없음,서울특별시 동작구 상도로 369,서울특별시 동작구 상도동 511,37.4964296,126.9551598,2021-10-05,3190000,서울특별시 동작구
동작구 도서관 축제,보라매공원,2020-05-30,2020-05-30,"도서관 홍보, 도서전시, 공연, 체험프로그램 운영 등",동작구 교육정책과,동작구도서관협의회,,02-820-1294,http://lib.dongjak.go.kr,,서울특별시 동작구 노량진로 74,서울특별시 동작구 대방동 49-6,37.51272028,126.9340267,2021-10-05,3190000,서울특별시 동작구
동작가족한마음축제,보라매공원,2019-10-19,2019-10-19,"구민체육대회, 축하공연, 동작가족미니랜드, 주민체험부스 운영 등",동작가족한마음축제 추진위원회,동작구 체육회,,02-820-1321,,없음,서울특별시 동작구 여의대방로20길 33,서울특별시 동작구 신대방동 395,37.49538106,126.9189142,2021-10-05,3190000,서울특별시 동작구
제7회 도심 속 바다축제,노량진수산시장 일대,2019-10-12,2019-10-13,"바다콘서트, 맨손활어잡기, 모의경매, 루프탑 파티, 먹거리장터 등",동작구축제추진위원회,동작구축제추진위원회,서울시,02-823-9330,,없음,서울특별시 동작구 노들로 674,서울특별시 동작구 노량진동 13-6,37.51482396,126.9379739,2021-10-05,3190000,서울특별시 동작구
하남이성문화축제,하남유니온파크,2021-09-25,2021-11-06,"음악공연, 체험행사, 온라인 이벤트",하남문화재단,하남문화재단,없음,031-790-6063,www.hnart.or.kr,하남시 일대,경기도 하남시 신평로 125,경기도 하남시 덕풍동 694,,,2021-10-21,4040000,경기도 하남시
울진금강송 송이 축제,울진 엑스포 공원,2021-10-01,2021-10-04,송이 축제,울진군 축제발전위원회,울진군,,054-789-6820,http://www.uljin.go.kr/songi/index.uljin,,,경북 울진군 울진읍 연지리 820-75,36.9934345,129.4048712,2021-10-26,5250000,경상북도 울진군
제15회 구리한강 유채꽃 축제,구리한강 시민공원,2015-05-08,2015-05-10,유채꽃 축제,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사+경기문화재단,031-550-2065,http://www.guri.go.kr,고구려대장간마을,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2021-10-26,3980000,경기도 구리시
제15회 구리 코스모스 축제,구리한강 시민공원,2015-10-09,2015-10-11,코스모스 축제,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사+경기문화재단,031-550-2065,http://www.guri.go.kr,고구려대장간마을,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2021-10-26,3980000,경기도 구리시
(예정)우륵문화제,"충주시 문화회관, 관아갤러리",2022-10-01,2022-10-09,"명현추모제, 개막식 및 축하공연, 우륵뮤지컬, 문인·미술·사진작가협회 회원전시회 등",우륵문화제추진위원회,충주예총,충주시,043-847-1565,www.cjart.or.kr,"충주예총홈페이지, 충주시홈페이지, 코로나로 인하여 일정 미정",충청북도 충주시 예성로 266,충청북도 충주시 교현동 500,36.98169208,127.9365803,2022-01-01,4390000,충청북도 충주시
달성토성마을축제,달성토성 둘레길,2019-04-27,2019-04-27,"골목정원투어, 거리 퍼레이드 등",달성토성마을골목축제 조직위원회,달성토성마을골목축제 조직위원회,대구광역시 서구청,053-663-2181,http://www.dgs.go.kr/tour/,,대구광역시 서구 국채보상로 81길 43,대구광역시 서구 비산동 125-22,35.8758308,128.5747396,2022-01-06,3430000,대구광역시 서구
가족사랑 아이스축제,이현공원물놀이장,2019-07-27,2019-07-27,"온가족 참여 체험 프로그램, 플리마켓 및 체험부스 등",공모 선정,공모 선정,대구광역시 서구청,053-663-2181,http://www.dgs.go.kr/tour/,,대구광역시 서구 문화로 122,대구광역시 서구 이현동 48-8,35.873636,128.5454766,2022-01-06,3430000,대구광역시 서구
미소&행복 구민축제,구민운동장,2019-10-13,2019-10-13,"구민화합경기, 구민가요제 등",서구문화원,서구문화원,대구광역시 서구청,053-663-2181,http://www.dgs.go.kr/tour/,,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.545577,2022-01-06,3430000,대구광역시 서구
달구벌목민관축제,서구 일대,2019-10-13,2019-10-13,달구벌목민관 부임 행차 퍼레이드 등,서구청,서구청,대구광역시 서구청,053-663-2181,http://www.dgs.go.kr/tour/,,대구광역시 서구 국채보상로 257,대구광역시 서구 평리동 1230-9,35.87232184,128.5592204,2022-01-06,3430000,대구광역시 서구
해맞이축제,와룡산 상리봉 정상,2019-01-01,2019-01-01,"전통문화공연, 성악공연, 해맞이 퍼포먼스, 떡국나눔",서구청,서구청,대구광역시 서구청,053-663-2181,https://www.dgs.go.kr/tour/page.php?mnu_uid=12688,,,대구광역시 서구 상리동 산 253-2,35.8860583275,128.5229053869,2022-01-06,3430000,대구광역시 서구
황매산 철쭉제,황매산군립공원,2022-05-01,2022-05-15,황매산 철쭉을 즐기는 축제,황매산 축제 위원회,경상남도 합천군청,사회단체,055-930-4758,http://www.hwangmaesan.kr,,경상남도 합천군 가회면 황매산공원길 4,경상남도 합천군 가회면 둔내리 1319,35.48184913,128.0037495,2022-01-27,5480000,경상남도 합천군
합천바캉스축제,온라인개최,2022-07-25,2022-07-31,물에서 즐기는 여름축제,경상남도 합천군청,경상남도 합천군청,경상남도,055-930-4666,https://www.hcvacance.co.kr/,,경상남도 합천군 합천읍 동서로 119,경상남도 합천군 합천읍 합천리 337,35.5670328,128.1636189,2022-01-27,5480000,경상남도 합천군
부안마실축제,부안군 일원(주행사장 : 부안읍 매창공원 일원),2022-05-05,2022-05-31,"개막식, 공연, 전시, 온라인 프로그램등 진행",부안군 대표축제 추진위원회,부안군 대표축제 추진위원회,전라북도 부안군,063-580-4777,https://www.buanmasil.com/,,전라북도 부안군 부안읍 매창로 89,전라북도 부안군 부안읍 서외리 566,35.71882124,126.7286953,2022-02-24,4790000,전라북도 부안군
2022 인제에서 꽃길만 걷자,용대관광지 일원,2022-10-01,2022-10-31,가을꽃축제,인제군문화재단,인제군문화재단,,1577-8924,http://www.injeart.or.kr/?p=59,http://www.injeart.or.kr/?p=59,강원도 인제군 인제읍 비봉로 44번길 100,,38.06067536,128.1649706,2022-02-24,4330000,강원도 인제군
밀양공연예술축제,밀양아리나,2021-07-30,2021-08-13,연극축제,(재)밀양문화재단+밀양공연예술축제추진위원회,경상남도 밀양시,경상남도,055-359-4572,www.theatervillage.co.kr,,경상남도 밀양시 부북면 창밀로 3097-16,,35.53347627,128.7046157,2021-10-30,5360000,경상남도 밀양시
부천국제판타스틱영화제,부천시청 등,2021-07-08,2021-07-18,"개폐막식, 영화상영, 문화행사 등",(사)부천국제판타스틱영화제조직위원회,(사)부천국제판타스틱영화제조직위원회,,032-327-6313,http://www.bifan.kr,,경기도 부천시 길주로 210,경기도 부천시 중동 1156,37.50358247,126.765337,2021-10-22,3860000,경기도 부천시
2021 영동곶감축제,온라인,2021-01-18,2021-02-05,영동곶감장터를 온라인으로 추진,"(재)영동축제관광재단, 영동곶감연합회",충청북도 영동군,,043-745-8916,,온라인으로 영동곶감장터 추진,충청북도 영동군 영동읍 동정로 1,,36.17495908,127.7832508,2021-10-20,4440000,충청북도 영동군
2021 영동포도축제,온라인,2021-08-17,2021-09-15,영동포도축제를 온라인으로 추진,"(재)영동축제관광재단, 영동곶감연합회",충청북도 영동군,,043-745-8916,,온라인으로 영동포도축제 추진,충청북도 영동군 영동읍 동정로 1,,,,2021-10-20,4440000,충청북도 영동군
제11회의성세계하늘축제,안계면 위천생태하천,2021-11-20,2021-12-19,(세부일정 미정)의성 전통 연을 주제로 대회 및 다영한 가족단위 체험프로그램 운영,의성세계연축제집행위원회,의성군축제추진위원회,의성군,054-830-6578,http://www.usc.go.kr/tour,,,경상북도 의성군 안계면 용기리 620-5,36.36933577,128.4330374,2021-09-30,5150000,경상북도 의성군
제4회의성슈퍼푸드마늘축제,의성군청 및 읍내 시가지 일원,2021-10-08,2021-10-10,"의성 특산물 마늘을 활용한 요리대회, 라이브커머스 등 다채로운 프로그램 운영",의성슈퍼푸드마늘축제추진위원회,의성군축제추진위원회,의성군,054-830-6578,http://www.garlicfestival.co.kr,,경상북도 의성군 의성읍 군청길 31,경상북도 의성군 의성읍 후죽리 509-2,36.35290408,128.6972464,2021-09-30,5150000,경상북도 의성군
삼국유사 문화축전,삼국유사교육문화회관,2019-12-28,2019-12-29,삼국유사 창작 뮤지컬공연,군위군,군위군,"경상북도, 군위군",054-380-7323,,삼국유사 문화공감대 형성,경상북도 군위군 군위읍 군청로 200,경상북도 군위군 군위읍 동부리 229,36.2432342224,128.5725142016,2021-10-26,5140000,경상북도 군위군
김수환추기경 사랑과 나눔 문화축전,김수환추기경사랑과나눔공원,2021-09-01,2021-09-30,온앤오프 사랑과나눔 문화축전,매일신문사,매일신문사,"경상북도, 군위군",054-380-6065,,김수환추기경 사랑과 나눔공원,경상북도 군위군 군위읍 군청로 200,경상북도 군위군 군위읍 동부리 229,36.2432342224,128.5725142016,2021-10-26,5140000,경상북도 군위군
증도 송어 축제,증도,2019-06-15,2019-06-16,"바다송어 요리 시식회, 올레 스템프 투어, 한마음 가요 잔치, 슬로시티 증도 푸드관, 친환경 녹색장터 운영 등",축제조직위,축제조직위,,,https://tour.shinan.go.kr/,,전라남도 신안군 증도,,,,2022-02-08,5010000,전라남도 신안군
면천진달래축제(취소),면천면 일원,2021-01-01,2021-12-31,"두견주 빚기체험, 진달래 사생대회, 남북화합대공연, 진달래분재전시",면천진달래민속축제집행위원회,면천진달래민속축제집행위원회,"당진시,당진교육지원청,면천면,면천두견주보존회,면천농협등",041-356-3848,,"면천두견주, 면천읍성, 면천향교, 면천레트로거리",충청남도 당진시 면천면 면천서문1길 69,충청남도 당진시 면천면 성상리 771-2,36.81761865,126.666993,2021-10-26,5680000,충청남도 당진시
